"V160001","V161126","V161196","V161342","V162034a","V162148"
300555,"5. Slightly conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
300558,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300559,"3. Slightly liberal","1. Favor","1. Male","2. Donald Trump","1. Favor"
300565,"4. Moderate, middle of the road","2. Oppose","2. Female","2. Donald Trump","2. Oppose"
300569,"7. Extremely conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300571,"6. Conservative","2. Oppose","2. Female","2. Donald Trump","2. Oppose"
300572,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300575,"5. Slightly conservative","1. Favor","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
300581,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
300583,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300587,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300597,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
300601,"6. Conservative","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
300605,"7. Extremely conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300609,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300610,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
300612,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300617,"5. Slightly conservative","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
300620,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300622,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300628,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
300633,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
300641,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
300655,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300656,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","1. Favor"
300657,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
300658,"5. Slightly conservative","1. Favor","1. Male","2. Donald Trump","1. Favor"
300660,"6. Conservative","3. Neither favor nor oppose","2. Female","-9. Refused","3. Neither favor nor oppose"
300663,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300675,"3. Slightly liberal","2. Oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
300676,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
300680,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","1. Male","2. Donald Trump","1. Favor"
300687,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","1. Favor"
300693,"4. Moderate, middle of the road","1. Favor","2. Female","1. Hillary Clinton","1. Favor"
300696,"7. Extremely conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300702,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300703,"6. Conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
300704,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300705,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300706,"2. Liberal","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300721,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","2. Donald Trump","1. Favor"
300726,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300731,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
300739,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300740,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300743,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
300745,"5. Slightly conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","1. Favor"
300747,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300749,"1. Extremely liberal","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
300750,"4. Moderate, middle of the road","3. Neither favor nor oppose","1. Male","3. Gary Johnson","2. Oppose"
300768,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
300769,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
300784,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
300785,"7. Extremely conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300789,"5. Slightly conservative","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
300792,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
300795,"4. Moderate, middle of the road","1. Favor","2. Female","1. Hillary Clinton","1. Favor"
300796,"2. Liberal","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","2. Oppose"
300798,"3. Slightly liberal","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","1. Favor"
300799,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300807,"6. Conservative","2. Oppose","1. Male","3. Gary Johnson","1. Favor"
300808,"7. Extremely conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300812,"6. Conservative","2. Oppose","2. Female","2. Donald Trump","1. Favor"
300813,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300816,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300820,"6. Conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
300821,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300827,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
300847,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
300853,"3. Slightly liberal","2. Oppose","1. Male","4. Jill Stein","1. Favor"
